"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Stomach|Basal pH in fasted state","Organism|Lumen|Stomach|Basal Bile Salt concentration","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|Duodenum|pH in fasted state","Organism|Lumen|Duodenum|Bile Salt concentration in fasted state","Organism|Lumen|Duodenum|Bile Salt concentration after meal","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|pH in fasted state","Organism|Lumen|UpperJejunum|Bile Salt concentration in fasted state","Organism|Lumen|UpperJejunum|Bile Salt concentration after meal","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|pH","Organism|Lumen|LowerJejunum|Bile Salt concentration","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|pH","Organism|Lumen|UpperIleum|Bile Salt concentration","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|pH","Organism|Lumen|LowerIleum|Bile Salt concentration","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|Caecum|pH","Organism|Lumen|Caecum|Bile Salt concentration","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|pH","Organism|Lumen|ColonAscendens|Bile Salt concentration","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|pH","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|pH","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|pH","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
0,"MALE","European_ICRP_2002",78.6064822930677,0.889953907877948,0.705796803531308,0.264500315288632,194.019177049232,39.9080979357977,40,17.2391593390707,0.47,0.980615544358829,0.409942703855663,0.0264577905735986,11.5365067285192,1.69403398626351,0.458218709181597,17.9581930283059,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0221393501221125,0.0387414541345891,0.0823278245856006,0.241641512252895,0.739387387344272,0.660842716358361,30,54,0.102984108104555,1.5,15.0139675033182,0.9,45.2263039924945,2.70928138289051,0.725692104798915,0.5,28.1032994807677,0.517772689553193,1.34006389325712,2,0.5,2.01886133231876,96.2039089847067,292.6883,6.4028493284828,3651.05144480165,19396.0662550536,447.9877,5.74808062432075,2663.85465750382,18301.8822747746,372.9358,7.40052510289907,5332.49854331043,260.7527,7.16337098597319,47.0955849571909,146.565,8.5972078404125,20.5750645850548,1.8,7.72969973824803,62.5717079017374,2.5,8.28681769150566,82.3514412623972,2.5,6.03104416437053,2.5,6.64114506665997,2.5,7.53781933292307,3.56,0.160603275585669,0.32257240079683,178.946059967615,0.780290390625751,0.879869064253495,2652,0.53797825626825,0.588635590502539,2.48225515418007,0.166769215462886,1.18174336597591,0.58,34.6851748635443,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0335691965501591,0.303751978356222,0.337611476889147,0.897252960902578,3.80549687554754,0.0799329558438764,0.251417498032397,0.943367325260759
1,"MALE","European_ICRP_2002",58.7888860184976,0.927224445111536,0.537569010454794,0.202088597109179,166.895030919111,13.454548089511,40,17.0559812893122,0.43,0.71938209950914,0.327268001376488,0.0415272649067062,9.1119703702992,1.43064051040969,0.564849813922474,17.9883013693184,0.726909096179022,0.717822732476784,0.00181727274044756,0.223090903820978,0.223090903820978,0.267709084585174,0.775066823800882,0.835945460605875,0.00145381819235804,0.00183908001333293,0.20078181343888,0.0133854542292587,0.0446181807641956,0.0325974624166086,0.0149123701842311,0.433819027160014,0.27568921784258,0.943596946970428,0.295113351453894,30,54,0.153150054101769,1.5,14.7843171802581,0.9,43.1379813442364,3.67502222926536,1.98135036933878,0.448967134322784,23.8780404634599,1.26567616764439,1.21443841316181,1.79585471909878,0.448967134322784,1.18336294246012,107.636573810184,292.6883,5.59433082041941,10991.9628802686,16075.0083404693,447.9877,6.48363542854333,1097.05387217988,4880.480191732,372.9358,7.006179356823,836.581856385252,260.7527,7.40775480778343,82.527670540494,146.565,7.8866515490711,6.74544513517161,1.8,8.02480542947085,141.209046027211,2.5,8.96991520626844,36.5115072444584,2.5,5.73577773035098,2.5,7.0202388980528,2.5,6.3298437221513,3.56,0.0945977235766977,0.509397291278116,52.9165457003119,0.604832082509447,1.18776415539876,2505,0.205536682952675,0.822840651134747,1.0811922521931,0.235418415755556,1.09707322472948,0.58,22.2056922147,0.013,0.0238,0.0072,0.177,0.811,0.76,0.198545422925868,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0351744830299352,0.131020055279264,0.458019186403843,0.797606363437499,2.17482832529445,0.169115268206149,0.233229803431276,0.912739367304065
2,"MALE","European_ICRP_2002",63.804995601506,1.02178697726436,1.93910722443772,0.240700153961323,169.874955393741,45.702856614116,40,16.2813029540016,0.47,0.917314629090194,0.405167966195092,0.0253780970615789,10.0494037411056,1.59743719989958,0.506606905987402,15.729210232911,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0207169652688455,0.0354214932879815,0.0811119321351035,0.391808358979077,0.66873306319764,0.522928207673962,30,54,0.12796095683588,1.5,14.8857896198633,0.9,44.9937822480261,2.36333104144233,0.569136773704504,0.5,15.5816762260892,0.90747214734039,1.11879815551443,2,0.5,2.24258119037968,134.624835137439,292.6883,5.93737320988648,4247.60686850201,22258.347714187,447.9877,6.07351898306967,6170.60229551633,11732.6779248466,372.9358,6.01891501713582,1500.20947269806,260.7527,7.84241057287363,99.2428367474478,146.565,8.27438218270482,285.331123025444,1.8,7.41374883386015,35.4175180589636,2.5,6.6925143349236,232.75661161608,2.5,7.06932356810278,2.5,6.0089306401414,2.5,5.98220726337164,3.56,0.184342169314611,0.358176902127063,147.437315508464,0.730768750311532,0.947931125940535,2652,0.421922122646894,0.614280729034402,1.9283714395443,0.190230045051543,1.25573362420012,0.58,25.2893146081292,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0337434486846125,0.0978245635386389,0.345935365126484,0.871012356433046,3.27402050569752,0.0951807241686073,0.102993632547693,0.929940637679973
3,"MALE","European_ICRP_2002",56.3612660463944,0.823139156205705,1.00268291570484,0.224967995043256,157.421050450049,19.9459655303256,40,15.8281443080328,0.436486551767752,0.845307189572009,0.321410533963318,0.0327494395580603,8.55679754845081,1.49300913775418,0.522469626814823,12.9944930756046,0.753081172474853,0.743667657818917,0.00188270293118713,0.200216137878697,0.196918827525147,0.236302593030176,0.802972800151312,0.866043348346081,0.00150616234494971,0.00190529536636138,0.177226944772632,0.0118151296515088,0.0393837655050294,0.0287372188840522,0.0233112747029729,0.158030454393926,0.324530468396354,0.777835660439271,0.294571196727708,30,54,0.12043959900807,1.5,15.1471234357957,0.9,44.7168387490311,3.56279940747933,2.2908762191206,0.482861222574028,28.572623291613,1.13825852629688,1.14333950580283,1.93143148491682,0.482861222574028,1.24953145598195,144.738092882215,292.6883,5.35976564715695,8731.43308366714,10881.8712372051,447.9877,5.88296301641842,6009.85973467151,15264.0574325586,372.9358,5.94805017956725,251.357911562572,260.7527,7.46706628879133,268.262282340059,146.565,8.48419710505584,413.368738150023,1.8,7.69395416504495,47.8145478803973,2.5,7.20932246444062,125.352288794382,2.5,6.32327805623863,2.5,7.13264490057256,2.5,6.47655351886413,3.56,0.134523357180849,0.468686934870099,166.909403008753,0.51535788165656,1.04475649053041,2553.47046219719,0.256649417014073,0.674996153613413,1.61320573638032,0.238735253784035,0.785892500595396,0.58,24.3811503879638,0.013,0.0238,0.0072,0.177,0.811,0.76,0.173405379292899,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0369020951569796,0.100339770979463,0.382731127931013,0.845696699623413,2.58756927584854,0.125204517600528,0.287450593979998,0.856947710642678
4,"MALE","European_ICRP_2002",106.024924401342,0.814269231234033,1.77370286355498,0.299396277077033,235.424585849824,39.4742350743498,40,18.8183173386158,0.47,1.09000741933485,0.442510657308381,0.027889213711751,13.7748248487128,1.45297755772998,0.504472904832747,36.3488506937451,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0229964401571347,0.0424210098217648,0.0829991173115653,0.425752363086323,0.660660922239176,0.55999105471152,30,54,0.112748085827371,1.5,14.8958803184088,0.9,44.2294181196726,2.62281638041106,1.37438225160428,0.5,18.0372760424757,0.900912241592795,1.08006121086405,2,0.5,1.80673367205576,145.830342101802,292.6883,7.36799005443756,2669.17766948647,2466.1681282678,447.9877,7.94034593233066,5749.61447668222,14982.2348519708,372.9358,6.56726964792326,4715.56501199114,260.7527,8.19080342609118,17.3092558765128,146.565,8.23784365673088,200.680567370382,1.8,7.41089112053993,189.876027630611,2.5,7.80620930695722,78.5550398567075,2.5,6.84226319194953,2.5,7.51353466473825,2.5,5.50911528419109,3.56,0.198154024654958,0.406877068574342,175.81879392235,0.656618443564501,0.863517987823295,2652,0.431277070773552,0.563423077665303,2.63149187946243,0.190056944837481,0.997617783533742,0.58,40.8429874853894,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0336463635155037,0.14478092725269,0.332372187339698,0.980840334996471,4.91208161796859,0.0786549938790826,0.0917392292945894,0.897848868454655
5,"FEMALE","European_ICRP_2002",9.24894109976888,0.972569889014387,0.950590816290899,0.136946254228223,45.9503587317518,1.68865770180181,40,8.21809065891858,0.36,0.130866399720863,0.0561236943841163,0.0460097052731414,1.65931489490872,1.09314394908461,0.964983643165415,1.9762575333525,0.6,0.5925,0.0015,0.35,0.349999999995861,0.419999999995033,0.63975,0.69,0.0012,0.001518,0.314999999996275,0.0209999999997517,0.0699999999991722,0.0196246239651815,0.0012496682578756,0.238711068092662,0.0870201422045588,0.769458516168628,0.0810070583578516,30,59,0.108996149833618,1.5,14.8605509743895,0.9,44.4512177389924,2.39068281797335,1.39456997636843,0.250558204788349,17.8140224024747,0.602762383942647,1.24963005764888,1.00222593257638,0.250558204788349,2.07755533158188,68.65388592475,266.346353,5.18753592925185,10875.5254044874,5211.71316051587,407.668807,6.33755678865567,3871.79275894602,24643.9145091716,339.371578,6.31546727226742,399.353708266576,237.284957,7.74033729691278,83.9499009516743,133.37415,8.06850947677355,64.6099983208422,1.638,8.46258737204848,382.411160767971,2.275,7.39874771473749,245.667439763482,2.275,6.02692728889081,2.275,6.14061796258748,2.275,6.84955349065472,3.2396,0.0283587424397769,0.518909931181064,116.27264215727,0.114602321048284,1.13587564116972,2382.48033496667,0.0833589422662916,0.864648601166891,0.409189240258776,0.190418042213876,0.160894737003277,0.53,2.76412147780001,0.013,0.0238,0.0072,0.239618331921056,0.819288575593798,0.767767345809231,0.313113422981982,0.022,0.0049,0.0078,0.0042,0.0798073951564859,0.257217418446331,0.672806647774932,0.767767345809231,0.0317389553815272,0.0213924862364738,0.470837536528501,0.13352519950158,0.402707629827153,0.159614165017431,0.0458069831161588,0.804328033150394
6,"FEMALE","European_ICRP_2002",4.73465193813334,1.37345878928345,0.718523100474951,0.14761059336974,27.2925489151838,0.252470700187828,40,5.66350470891452,0.352573378343469,0.0652829256185077,0.0284977816270157,0.0570618521769762,0.67241626399004,0.503080053825281,0.535505780757003,1.11457906436978,0.443018847039444,0.437481111451451,0.00110754711759861,0.492030566964313,0.506981152959294,0.608377383551153,0.472368845655807,0.50947167409536,0.000886037694078888,0.00112083768300979,0.456283037663364,0.0304188691775576,0.101396230591859,0.030040852078004,0.000539073179499925,0.299837699281337,0.0297722078327167,0.903883143398753,0.0331305012003182,30,59,0.130536295149011,1.5,14.7747736841767,0.9,45.2158388025958,2.79399692941008,0.824628990585544,0.175801977997405,13.8369116705956,0.850879040419066,1.12267531096396,0.703215387282616,0.175801977997405,2.25947282884293,102.620937812659,266.346353,6.47544876049457,2902.98989547146,18475.7603252828,407.668807,6.59053440842041,3528.45028393164,14821.6426193451,339.371578,6.84327974536055,2195.8025501941,237.284957,6.84772569226581,77.2954330506204,133.37415,7.84262670437839,226.255581022818,1.638,8.01440673855395,56.7404056657371,2.275,8.2449225021516,258.815512521341,2.275,7.71264368614156,2.275,6.04172587886446,2.275,7.01279398955051,3.2396,0.0118034098088364,0.689599527519081,230.133041763133,0.0521670934306785,1.54256591718649,2137.22638585522,0.0273543811110513,1.124860330423,0.31197986047529,0.196193048435086,0.101601646221107,0.53,1.39672682538771,0.013,0.0238,0.0072,0.198358898023896,0.856938049833014,0.803049220558681,0.409703515977461,0.022,0.0049,0.0078,0.0042,0.0834748531896524,0.212927630647119,0.703724711700108,0.803049220558681,0.0302741305056547,0.0134303571076117,0.587449087450625,0.0616353648207588,0.280989879929272,0.126402262258367,0.0296652481978628,1.05040090628447
7,"FEMALE","European_ICRP_2002",63.7362114181796,1.06516901987764,0.740304668742709,0.270184365431116,164.904332291698,49.6138497486775,40,15.3590026446437,0.41,0.738929558072621,0.311259714509361,0.0323098660618117,7.92635719712004,1.32582147020219,0.528975392412337,27.232676868708,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0262618957652275,0.00649611112405003,0.0825557732650721,0.237024287167546,0.856241630714329,0.385886073936021,30,59,0.100754093964152,1.5,15.2000418271842,0.9,45.5440884706061,2.50210345593253,0.766080852109496,0.5,15.7817520536758,0.837614926630931,0.816302340480332,2,0.5,1.17220248659258,171.082863332215,292.6883,7.12939806631102,3864.03166184805,8997.5214558709,447.9877,7.77700474628835,4589.71852021393,23250.0813491625,372.9358,5.92909951541772,3539.91520253347,260.7527,7.00555178771446,90.0785804949884,146.565,8.62172297816734,212.418456384287,1.8,8.51249593551192,314.665134322071,2.5,7.638592188851,96.8025453737281,2.5,6.94280008814803,2.5,6.55406466684592,2.5,6.6110650770786,3.56,0.122872988697543,0.355607833921702,151.140361787479,0.635498896018814,0.877996578942682,2652,0.426584833383458,0.695046832696566,2.04735072156411,0.185794477415843,1.14762287885892,0.53,17.2793960931779,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0327335168470687,0.183421721255097,0.341163387684058,0.79234803753675,2.7614521725392,0.108644651341124,0.175211794307982,0.930166089989689
8,"FEMALE","European_ICRP_2002",64.453518623953,1.1585613993108,1.37575930760287,0.30014518304174,161.979317355447,44.0084535833488,40,14.6540485705183,0.41,0.69122262192607,0.284633345541356,0.0303724771618975,7.22914121821791,1.36637163984532,0.502034883246184,28.3937163243066,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0275609044858864,0.00956739340316763,0.100540122798851,0.357457979493244,1.00612607728505,0.510879120655815,30,59,0.0782189178472116,1.5,15.4774277312014,0.9,45.0366696304648,2.60755025987373,1.2727041836165,0.5,26.4894544866627,1.52680268724419,0.823691066558355,2,0.5,1.68656239904523,97.2555622519029,292.6883,6.58743538211199,6205.85828275985,7826.35640026632,447.9877,7.64376463701364,4097.58212874559,7467.97384443885,372.9358,7.06801013693774,9786.3602536564,260.7527,7.78710400831831,155.518556843876,146.565,7.90579085600075,91.4498066013264,1.8,7.80988953843565,266.532179881788,2.5,7.26137020910316,10.8812326470625,2.5,5.93234746229881,2.5,7.88112812227365,2.5,6.22177190072717,3.56,0.133358256430446,0.369392617164132,184.124408866363,0.709660544752006,0.90971818701073,2652,0.427106492843884,0.682164877519662,2.03902324933138,0.207207663107821,1.48237889550485,0.53,17.0078591497853,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0323253953681886,0.213201084885274,0.366265417589935,0.770128887167528,2.62976206563732,0.11508980155119,0.198050354225583,0.831198747310304
9,"FEMALE","European_ICRP_2002",36.2544759393401,0.85222619866597,0.767546790885069,0.179569828300723,119.624550086993,11.9807607550084,40,14.2090202169563,0.4,0.48494031118491,0.209283303450685,0.0405718793029927,6.10863465443889,1.337043822541,0.588725272567756,8.32430539319015,0.723961521510017,0.714912002491142,0.00180990380377504,0.226038478489983,0.226038478489983,0.27124617418798,0.771923972310055,0.832555749736519,0.00144792304302003,0.00183162264942034,0.203434630640985,0.013562308709399,0.0452076956979966,0.0309814066148789,0.00473117455402391,0.209754020257863,0.232128532734623,1.08530069722963,0.255351613189737,30,59,0.103580336949542,1.5,14.7708931494744,0.9,43.5815806412119,3.07537040193336,1.27382619387189,0.455715245951938,16.2192914647186,1.2543716792777,0.729022151408424,1.82290777873605,0.455715245951938,0.919778021340963,111.28887907096,292.6883,5.49333813075551,1624.74744392988,5806.63157376708,447.9877,7.13019067272347,4704.2188851678,5636.82511142189,372.9358,5.9693885458732,1581.26179328979,260.7527,6.96484284891068,140.650271806736,146.565,8.29703411885547,105.669755095657,1.8,6.9137920329519,259.185446486931,2.5,7.6966497706938,344.658381648849,2.5,7.18462260448414,2.5,5.68685860359136,2.5,7.71710409800346,3.56,0.137493119988272,0.437476924342283,71.3771379720904,0.468471069073741,1.19158505411173,2505,0.216561352395538,0.78925228322257,1.70807017574917,0.236569272954609,0.582269575757786,0.53,14.161107965884,0.013,0.0238,0.0072,0.177,0.811,0.76,0.216230870939899,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0318261421117201,0.0964988065868509,0.515243854362192,0.531868006498588,1.17464805006908,0.211624980364322,0.22106901205298,1.03243647043524
